Timestamp,X,Y,Z
3.745,0.17357962,-0.15562311,9.807847
3.768,0.17118542,-0.15682021,9.797073
3.789,0.16280572,-0.16639702,9.80665
3.811,0.17118542,-0.15442601,9.8042555
3.837,0.16280572,-0.16759412,9.801862
3.86,0.16519992,-0.15083471,9.799467
3.882,0.17836803,-0.15322891,9.803059
3.904,0.1604115,-0.17118542,9.811439
3.925,0.17597382,-0.142455,9.793482
3.948,0.16280572,-0.16759412,9.805453
3.97,0.16519992,-0.16280572,9.805453
3.991,0.16998832,-0.16519992,9.801862
4.012,0.16280572,-0.16280572,9.8042555
4.034,0.17118542,-0.15083471,9.810242
4.057,0.17357962,-0.16400282,9.810242
4.08,0.16879122,-0.14844051,9.810242
4.102,0.16879122,-0.15322891,9.807847
4.124,0.16879122,-0.14724341,9.800665
4.145,0.17357962,-0.16639702,9.791088
4.167,0.17357962,-0.16639702,9.791088
4.189,0.16879122,-0.16160862,9.817424
4.211,0.16879122,-0.16160862,9.817424
4.233,0.16519992,-0.14844051,9.809045
4.255,0.17357962,-0.1592144,9.80665
4.277,0.17597382,-0.1604115,9.803059
4.299,0.17357962,-0.15682021,9.81503
4.321,0.17477672,-0.15322891,9.805453
4.342,0.17717093,-0.15562311,9.797073
4.364,0.16998832,-0.15083471,9.799467
4.387,0.16759412,-0.16759412,9.809045
4.409,0.10534488,-0.1352724,9.8042555
4.432,0.17956513,-0.16998832,9.825804
4.454,0.14844051,-0.16400282,9.794679
4.475,0.14963761,-0.1340753,9.8042555
4.497,0.142455,-0.1412579,9.770737
4.518,0.17238252,-0.16160862,9.809045
4.54,0.17238252,-0.15801731,9.799467
4.561,0.16160862,-0.15083471,9.803059
4.583,0.17238252,-0.1604115,9.807847
4.605,0.16280572,-0.17118542,9.803059
4.627,0.16639702,-0.15083471,9.803059
4.65,0.16998832,-0.15801731,9.799467
4.672,0.16400282,-0.15083471,9.805453
4.694,0.15083471,-0.1316811,9.793482
4.717,0.18794483,-0.17238252,9.829395
4.739,0.17717093,-0.16998832,9.812635
4.761,0.011971008,-0.07182605,9.850943
4.784,0.19033903,-0.15801731,9.743204
4.805,0.16400282,-0.16280572,9.817424
4.827,0.15203181,-0.15442601,9.81503
4.849,0.18435353,-0.14844051,9.810242
4.871,0.17238252,-0.16519992,9.799467
4.893,0.15562311,-0.16400282,9.807847
4.916,0.17477672,-0.15562311,9.7958765
4.939,0.130484,-0.11731588,9.809045
4.961,0.22505496,-0.19393034,9.7958765
4.982,0.23223756,-0.20470424,9.821015
5.004,0.06703765,-0.092176765,9.810242
5.025,0.12808979,-0.1388637,9.801862
5.048,0.16160862,-0.142455,9.828198
5.07,0.17597382,-0.16400282,9.807847
5.091,0.16879122,-0.15562311,9.807847
5.112,0.16998832,-0.17477672,9.810242
5.134,0.16879122,-0.15682021,9.812635
5.156,0.17238252,-0.15801731,9.801862
5.178,0.17118542,-0.15682021,9.794679
5.2,0.16879122,-0.16160862,9.801862
5.222,0.12808979,-0.11971009,9.803059
5.244,0.23463176,-0.19991584,9.801862
5.266,0.1592144,-0.16160862,9.8198185
5.288,0.17118542,-0.16879122,9.810242
5.309,0.1436521,-0.1352724,9.811439
5.331,0.1436521,-0.1352724,9.811439
5.354,0.18195933,-0.16998832,9.8042555
5.376,0.16519992,-0.15682021,9.803059
5.401,0.16998832,-0.15442601,9.807847
5.423,0.16879122,-0.16759412,9.797073
5.446,0.17238252,-0.15682021,9.812635
5.468,0.18076223,-0.16759412,9.797073
5.49,0.19991584,-0.16639702,9.828198
5.513,0.16160862,-0.1448492,9.7863
5.537,0.18914193,-0.16639702,9.79827
5.56,0.16519992,-0.1436521,9.809045
5.585,0.17118542,-0.16280572,9.81503
5.608,0.16639702,-0.14724341,9.813833
5.63,0.17238252,-0.16519992,9.801862
5.653,0.17238252,-0.15562311,9.805453
5.677,0.15322891,-0.14844051,9.7958765
5.7,0.130484,-0.14963761,9.8198185
5.721,0.19393034,-0.17597382,9.8042555
5.742,0.15083471,-0.15203181,9.794679
5.765,0.15083471,-0.15203181,9.794679
5.787,0.16160862,-0.16639702,9.809045
5.809,0.16160862,-0.16639702,9.809045
5.831,0.16519992,-0.1592144,9.811439
5.853,0.16400282,-0.16639702,9.812635
5.874,0.17238252,-0.16280572,9.8042555
5.895,0.16160862,-0.14963761,9.813833
5.919,0.17956513,-0.1604115,9.7719345
5.941,0.15442601,-0.1436521,9.7803135
5.962,0.16400282,-0.17357962,9.8198185
5.987,0.17238252,-0.16160862,9.79827
6.009,0.17717093,-0.16160862,9.805453
6.03,0.17477672,-0.16519992,9.811439
6.052,0.16639702,-0.16879122,9.800665
6.074,0.16759412,-0.15203181,9.8042555
6.095,0.1412579,-0.1376666,9.765948
6.117,0.15801731,-0.1388637,9.805453
6.139,0.272939,-0.21428105,9.730036
6.16,0.08259996,-0.108936176,9.901221
6.183,0.19273324,-0.17118542,9.762358
6.205,0.17836803,-0.15682021,9.832987
6.228,0.18195933,-0.16519992,9.791088
6.252,0.17238252,-0.15203181,9.801862
6.273,0.17836803,-0.18076223,9.81503
6.294,0.17597382,-0.1592144,9.8042555
6.315,0.17597382,-0.16160862,9.813833
6.337,0.16998832,-0.16400282,9.810242
6.358,0.17717093,-0.15562311,9.809045
6.379,0.17717093,-0.15562311,9.809045
6.401,0.20350714,-0.17956513,9.755175
6.423,0.16998832,-0.16759412,9.809045
6.444,0.16160862,-0.16759412,9.809045
6.466,0.17238252,-0.15442601,9.79827
6.487,0.16400282,-0.15442601,9.80665
6.508,0.17717093,-0.15562311,9.8042555
6.529,0.1604115,-0.16759412,9.805453
6.55,0.16400282,-0.16879122,9.81503
6.574,0.16759412,-0.15442601,9.799467
6.595,0.17118542,-0.1604115,9.813833
6.616,0.16160862,-0.15801731,9.8042555
6.638,0.17357962,-0.15682021,9.805453
6.658,0.23582886,-0.18435353,9.877279
6.679,0.23582886,-0.18435353,9.877279
6.7,0.17477672,-0.15322891,9.824607
6.721,0.19512744,-0.17477672,9.791088
6.742,0.17238252,-0.16400282,9.832987
6.762,0.16160862,-0.15203181,9.8042555
6.783,0.17357962,-0.16759412,9.801862
6.804,0.1592144,-0.1604115,9.80665
6.825,0.16998832,-0.16639702,9.801862
6.846,0.16998832,-0.15801731,9.80665
6.867,0.16759412,-0.16160862,9.805453
6.888,0.16998832,-0.15562311,9.80665
6.909,0.16400282,-0.1604115,9.80665
6.93,0.16400282,-0.1604115,9.80665
6.951,0.11492168,-0.10295067,9.779117
6.972,0.15322891,-0.15322891,9.8198185
6.993,0.17717093,-0.15083471,9.794679
7.014,0.1388637,-0.14724341,9.834184
7.034,0.17597382,-0.16400282,9.813833
7.055,0.16280572,-0.14844051,9.805453
7.077,0.1604115,-0.15682021,9.812635
7.097,0.17357962,-0.16639702,9.810242
7.118,0.16280572,-0.16160862,9.809045
7.14,0.17477672,-0.16160862,9.810242
7.16,0.16879122,-0.15682021,9.810242
7.181,0.16879122,-0.15682021,9.810242
7.202,0.31364042,-0.22266077,9.847352
7.223,0.16280572,-0.16759412,9.805453
7.244,0.16519992,-0.14604631,9.791088
7.266,0.17238252,-0.17238252,9.813833
7.288,0.16998832,-0.15562311,9.812635
7.309,0.18315643,-0.15562311,9.80665
7.33,0.16519992,-0.1604115,9.818622
7.351,0.17477672,-0.15801731,9.81503
7.372,0.17118542,-0.15322891,9.81503
7.393,0.17118542,-0.15203181,9.812635
7.414,0.17477672,-0.16160862,9.813833
7.435,0.1592144,-0.1400608,9.81503
7.456,0.1448492,-0.1436521,9.827001
7.477,0.21308395,-0.19273324,9.813833
7.498,0.090979666,-0.10295067,9.791088
7.519,0.12090719,-0.12808979,9.832987
7.54,0.16160862,-0.16160862,9.825804
7.561,0.17477672,-0.15682021,9.805453
7.582,0.17477672,-0.15682021,9.805453
7.603,0.17118542,-0.17597382,9.807847
7.624,0.16400282,-0.16280572,9.812635
7.645,0.17118542,-0.16759412,9.799467
7.667,0.17357962,-0.16519992,9.812635
7.688,-0.0023942017,-0.062249243,9.752781
7.709,-0.0023942017,-0.062249243,9.752781
7.73,0.2621651,-0.23104046,9.822212
7.753,0.21428105,-0.17238252,9.737218
7.774,0.1316811,-0.1328782,9.800665
7.795,0.19752164,-0.19273324,9.805453
7.817,0.17238252,-0.16639702,9.807847
7.838,0.18076223,-0.1592144,9.810242
7.86,0.17238252,-0.16280572,9.811439
7.88,0.16519992,-0.16160862,9.810242
