Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
894.0153,894.006,894.006,895.0365,0.0,0.0,
894.0176,894.006,894.006,895.0365,0.0,0.0,
894.0126,894.006,894.006,895.0365,0.0,0.0,
894.0129,894.01544,894.006,895.0365,0.0,0.0,
894.0063,894.01544,894.006,895.0365,0.0,0.0,
894.0069,894.01544,894.006,895.0365,0.0,0.0,
894.00854,894.01544,894.006,895.0365,0.0,0.0,
894.00885,894.01544,894.006,895.0365,0.0,0.0,
894.01605,894.01544,894.006,895.0365,0.0,0.0,
894.01544,894.0093,894.0093,895.0365,0.0,0.0,
894.01544,894.0093,894.0093,895.0365,0.0,0.0,
894.01544,894.0093,894.0093,895.0365,0.0,0.0,
894.01215,894.0093,894.0093,895.0365,0.0,0.0,
894.0072,894.0093,894.0093,895.0365,0.0,0.0,
894.0055,894.0093,894.0093,895.0365,0.0,0.0,
894.01276,894.0111,894.0093,895.0365,0.0,0.0,
894.0061,894.0111,894.0093,895.0365,0.0,0.0,
894.0022,894.0111,894.0093,895.0365,0.0,0.0,
894.00055,894.0111,894.0093,895.0365,0.0,0.0,
894.0022,894.0111,894.0093,895.0365,0.0,0.0,
894.0039,894.0111,894.0093,895.0365,0.0,0.0,
894.0105,894.0029,894.0029,895.0365,0.0,0.0,
894.0138,894.0029,894.0029,895.0365,0.0,0.0,
894.00854,894.0029,894.0029,895.0365,0.0,0.0,
894.02344,894.0029,894.0029,895.0365,0.0,0.0,
894.01843,894.0029,894.0029,895.0365,0.0,0.0,
894.0171,894.0029,894.0029,895.0365,0.0,0.0,
894.01544,894.0163,894.0029,895.0365,0.0,0.0,
894.0138,894.0163,894.0029,895.0365,0.0,0.0,
894.00446,894.0163,894.0029,895.0365,0.0,0.0,
894.0031,894.0163,894.0029,895.0365,0.0,0.0,
894.0054,894.0163,894.0029,895.0365,0.0,0.0,
894.0073,894.0163,894.0029,895.0365,0.0,0.0,
894.0145,894.00684,894.00684,895.0365,0.0,0.0,
894.0165,894.00684,894.00684,895.0365,0.0,0.0,
894.01904,894.00684,894.00684,895.0365,0.0,0.0,
894.018,894.00684,894.00684,895.0365,0.0,0.0,
894.015,894.00684,894.00684,895.0365,0.0,0.0,
894.0264,894.00684,894.00684,895.0365,0.0,0.0,
894.0284,894.0189,894.00684,895.0365,0.0,0.0,
894.0326,894.0189,894.00684,895.0365,0.0,0.0,
894.036,894.0189,894.00684,895.0365,0.0,0.0,
894.0253,894.0189,894.00684,895.0365,0.0,0.0,
894.02124,894.0189,894.00684,895.0365,0.0,0.0,
894.0131,894.0189,894.00684,895.0365,0.0,0.0,
894.0124,894.0257,894.0257,895.0365,0.0,0.0,
893.97943,894.0257,894.0257,895.0365,0.0,0.0,
893.9737,894.0257,894.0257,895.0365,0.0,0.0,
893.9702,894.0257,894.0257,895.0365,0.0,0.0,
893.96344,894.0257,894.0257,895.0365,0.0,0.0,
893.95605,894.0257,894.0257,895.0365,0.0,0.0,
893.95306,893.96857,894.0257,895.0365,0.0,0.0,
893.9581,893.96857,894.0257,895.0365,0.0,0.0,
893.9538,893.96857,894.0257,895.0365,0.0,0.0,
893.95135,893.96857,894.0257,895.0365,0.0,0.0,
893.93933,893.96857,894.0257,895.0365,0.0,0.0,
893.9402,893.96857,894.0257,895.0365,0.0,0.0,
893.9345,893.9486,893.9486,895.0365,0.0,0.0,
893.9379,893.9486,893.9486,895.0365,0.0,0.0,
893.9372,893.9486,893.9486,895.0365,0.0,0.0,
893.93536,893.9486,893.9486,895.0365,0.0,0.0,
893.9158,893.9486,893.9486,895.0365,0.0,0.0,
893.89594,893.9486,893.9486,895.0365,0.0,0.0,
893.8911,893.92444,893.9486,895.0365,0.0,0.0,
893.89,893.92444,893.9486,895.0365,0.0,0.0,
893.8785,893.92444,893.9486,895.0365,0.0,0.0,
893.8589,893.92444,893.9486,895.0365,0.0,0.0,
893.86115,893.92444,893.9486,895.0365,0.0,0.0,
893.8562,893.92444,893.9486,895.0365,0.0,0.0,
893.8455,893.86896,893.86896,895.0365,0.0,0.0,
893.84216,893.86896,893.86896,895.0365,0.0,0.0,
893.8444,893.86896,893.86896,895.0365,0.0,0.0,
893.8444,893.86896,893.86896,895.0365,0.0,0.0,
893.8444,893.86896,893.86896,895.0365,0.0,0.0,
893.8362,893.86896,893.86896,895.0365,0.0,0.0,
893.8362,893.8424,893.86896,895.0365,0.0,0.0,
893.8362,893.8424,893.86896,895.0365,0.0,0.0,
893.8464,893.8424,893.86896,895.0365,0.0,0.0,
893.85693,893.8424,893.86896,895.0365,0.0,0.0,
893.85693,893.8424,893.86896,895.0365,0.0,0.0,
893.86383,893.8424,893.86896,895.0365,0.0,0.0,
893.86053,893.85205,893.85205,895.0365,0.0,0.0,
893.86053,893.85205,893.85205,895.0365,0.0,0.0,
893.8423,893.85205,893.85205,895.0365,0.0,0.0,
893.83075,893.85205,893.85205,895.0365,0.0,0.0,
893.83075,893.85205,893.85205,895.0365,0.0,0.0,
893.8241,893.85205,893.85205,895.0365,0.0,0.0,
893.8214,893.8377,893.85205,895.0365,0.0,0.0,
893.8214,893.8377,893.85205,895.0365,0.0,0.0,
893.8214,893.8377,893.85205,895.0365,0.0,0.0,
893.8181,893.8377,893.85205,895.0365,0.0,0.0,
893.82996,893.8377,893.85205,895.0365,0.0,0.0,
893.8283,893.8377,893.85205,895.0365,0.0,0.0,
893.8214,893.82385,893.82385,895.0365,0.0,0.0,
893.825,893.82385,893.82385,895.0365,0.0,0.0,
893.8283,893.82385,893.82385,895.0365,0.0,0.0,
893.83057,893.82385,893.82385,895.0365,0.0,0.0,
893.8289,893.82385,893.82385,895.0365,0.0,0.0,
893.8408,893.82385,893.82385,895.0365,0.0,0.0,
893.8309,893.8307,893.82385,895.0365,0.0,0.0,
893.8193,893.8307,893.82385,895.0365,0.0,0.0,
893.81323,893.8307,893.82385,895.0365,0.0,0.0,
893.81824,893.8307,893.82385,895.0365,0.0,0.0,
